,base_time,id_device,imu_mean,weight_slope,weight_mean,temperature_mean,stage
201,10132,1,2.5046840579453105,1.1945139696128866,1221.1114303892616,24.306596701649177,1.0
202,10182,1,2.3533954167020665,1.4219643784262241,1276.7498545887577,24.469265367316343,1.0
203,10231,1,2.5218005384147233,1.3261812707370257,1343.514929166945,24.5,1.0
204,10281,1,2.7014973760718592,1.0283773670123142,1402.5959229297669,24.5,1.0
205,10331,1,2.894378507322922,0.9844535720805223,1445.976973180875,24.410544727636182,1.0
206,10380,1,3.324067868735183,0.9238777496950077,1495.0571264439652,24.222138930534733,1.0
207,10430,1,3.243642646588267,0.7457192402267877,1551.2772746353226,24.009745127436283,1.0
208,10480,1,3.3696634386912123,1.8329973770572374,1631.4841716659641,23.873313343328334,1.0
209,10529,1,3.548581447945748,1.508101654525373,1702.1328530751396,23.71264367816092,1.0
210,10579,1,3.4511339642106695,1.6351854857242993,1766.4744604219215,23.650924537731136,1.0
211,10629,1,3.454732162818634,2.3403643424430958,1830.3591400274947,23.613693153423288,1.0
212,10678,1,3.1318609671505455,0.6633920676057021,1909.1434733040765,23.5,1.0
213,10728,1,2.951867589911978,1.3230704900492467,1991.376628408364,23.5,1.0
214,10778,1,2.912533827998883,1.6873022513608635,2045.260369336175,23.5,1.0
215,10827,1,3.1408275868640914,0.8316394851151523,2130.5953156627247,23.5,1.0
216,10877,1,2.939275908663085,-0.05006186595236127,2145.2586045261987,23.5,1.0
217,10927,1,2.814297442299013,1.5940283469673413,2210.464674227333,23.5,1.0
218,10976,1,2.4371043460078274,1.5738379968115657,2325.4096191003687,23.537731134432782,1.0
219,11026,1,1.9102525482527777,1.5682192999103761,2395.1907730849475,23.537731134432782,1.0
220,11076,1,2.1098052014925512,2.7223385934410986,2502.8155663423677,23.65392303848076,1.0
221,11125,1,2.2168768812258612,0.7117176838718529,2544.7141331107327,23.903798100949526,1.0
222,11175,1,2.3601473045023944,0.7873892326958049,2562.0423640599442,24.09095452273863,1.0
223,11225,1,2.3474751280769732,1.493078271823869,2619.7017638760876,24.363818090954524,1.0
224,11274,1,2.2224496430677556,1.9326870465404076,2713.1889996544614,24.71014492753623,1.0
225,11324,1,2.1225439367711783,2.178993356192358,2820.6703212840157,24.899800099950024,1.0
226,11374,1,2.0390332844050194,1.7138713569201187,2929.8967933378785,24.939780109945026,1.0
227,11423,1,2.1162413133735583,2.1017269424543876,3016.044783070851,24.871564217891056,1.0
228,11473,1,1.7830971696401807,1.6197521551802179,3087.270827930548,24.840829585207395,1.0
229,11523,1,1.3396065279390885,0.7449958028575266,3134.630365698799,24.88680659670165,1.0
230,11572,1,1.0033135608466304,0.4854537584847639,3164.9611873507424,24.91504247876062,2.0
231,11622,1,0.6406637530638409,-0.6117627540199624,3176.0674741690013,24.867816091954023,2.0
232,11672,1,0.5221639882600293,-0.6673468585576234,3160.728651007511,24.56246876561719,2.0
233,11721,1,0.43013825769019215,0.19962449171030133,3162.4560503648518,24.201149425287355,2.0
234,11771,1,0.33658223175746343,0.11946362424277228,3172.9005454148823,24.047226386806596,2.0
235,11821,1,0.24138278740770777,0.12001825955919873,3178.995193347265,24.13993003498251,2.0
236,11870,1,0.23959863397919476,0.12314278531416199,3184.939439719527,24.264867566216893,2.0
237,11920,1,0.2384747236757014,-0.24049469611893015,3179.3504685127486,24.389805097451273,2.0
238,11970,1,0.24010379246816332,-0.10839503249318867,3168.383189813814,24.5,2.0
239,12019,1,0.2417500321489438,-0.09300993110705906,3163.232561965304,24.5,2.0
240,12069,1,0.3070039848640324,-0.2942702072334599,3148.387955040209,24.5,2.0
241,12119,1,0.4148632505407957,-0.27980145984838084,3134.039257323902,24.5,2.0
242,12168,1,0.5008242998443226,0.34703290603103387,3140.1306318570473,24.5,3.0
243,12218,1,0.5819865313033247,0.18633066829570125,3150.855207278967,24.5,3.0
244,12268,1,0.7090188571278675,0.3731248804821171,3169.8492631978215,24.5,3.0
245,12317,1,0.9070114897542069,0.330200929906397,3187.5544786303544,24.5,3.0
246,12367,1,1.289816535111411,-0.33596459355401526,3191.1478927522344,24.45727136431784,3.0
247,12417,1,1.4472419963080123,-0.62743723035379,3166.9728600002827,24.332333833083457,3.0
248,12466,1,1.4065184322965956,-0.7506627289166884,3138.414111104486,24.207396301849077,3.0
249,12516,1,1.2493224020470608,-0.3350477781461127,3119.33748027759,24.082458770614693,3.0
250,12566,1,0.9550399687940184,-0.27767937689857,3095.611410873385,24.0,3.0
251,12615,1,1.0086290183057076,0.1918073611681501,3096.2188575094347,23.89855072463768,3.0
252,12665,1,1.2934901551393758,0.04610707500044057,3096.614297068045,23.7736131934033,3.0
253,12715,1,1.649850817927104,0.05471597969456106,3087.197196801695,23.648675662168916,3.0
254,12764,1,1.7174609460665446,0.033374577301573415,3083.1004646215465,23.523738130934532,3.0
255,12814,1,1.577328476006911,-0.13197909073086225,3071.53176406526,23.5,3.0
256,12864,1,1.2469117311953883,-0.053971475459989315,3060.6617965574,23.5,3.0
257,12913,1,0.8420568691783082,-0.3189876506829642,3056.4724968612963,23.5,3.0
258,12963,1,0.7643328582855164,-0.29458369676013296,3045.5945027007338,23.5,3.0
259,13013,1,0.7788533414275348,-0.17846535716474315,3040.9844047789234,23.5,3.0
260,13062,1,0.8398081542042979,0.3756327966955334,3050.0511387813517,23.126436781609197,4.0
261,13112,1,0.9105476117420794,0.4032439896220488,3062.7971064779063,21.32583708145927,4.0
262,13162,1,0.9145119911803952,0.4069695342239954,3080.7796652703837,18.63968015992004,4.0
263,13211,1,0.8780951942449065,0.3575709770431643,3105.2180402371882,15.30134932533733,4.0
264,13261,1,0.7610767418982992,-0.01121327922343268,3118.3408607148267,11.918290854572714,4.0
265,13311,1,0.6407783197280857,-0.38385613525632756,3109.374677778504,10.269615192403798,4.0
266,13360,1,0.5190048439197654,-0.17068298998594061,3097.625676859702,9.970514742628685,2.0
267,13410,1,0.43781536550065453,-0.11237393802408546,3087.0654706187875,10.497251374312844,2.0
268,13460,1,0.43670704357075585,-0.08987503584029159,3079.305443109782,11.57696151924038,2.0
269,13509,1,0.43396219168860395,0.1260227897240059,3084.6907116638135,12.402298850574713,2.0
270,13559,1,0.43389271823951875,-0.09648243047947598,3087.6130190774284,12.78510744627686,2.0
271,13609,1,0.4322780625696475,-0.07714253814142642,3083.2524561868568,13.09720139930035,2.0
272,13659,1,0.43248819322541665,-0.07561314443075924,3079.4303207763637,13.272613693153422,2.0
273,13708,1,0.43206845953860984,-0.06513347781181439,3076.033147776855,13.397551224387806,2.0
274,13758,1,0.430532479884501,-0.059587124647536564,3072.975689922169,13.5,2.0
275,13808,1,0.4302815496993116,-0.05959300151370985,3070.1392906804863,13.5,2.0
276,13857,1,0.4288539702894554,-0.052111605165244296,3067.6423264170503,13.59320339830085,2.0
277,13907,1,0.4278817619792142,-0.04757806431792224,3065.0812997909293,13.680409795102449,2.0
278,13957,1,0.4278653310945469,-0.05180007054653208,3062.5688832632086,13.80534732633683,2.0
279,14006,1,0.42752703915953943,-0.049386657741057355,3060.0557148354433,13.930284857571214,2.0
280,14056,1,0.42624356847264633,-0.04598650210556581,3057.616845626061,13.962268865567216,2.0
281,14106,1,0.42595228530568513,-0.052041337759138745,3055.3157369566297,14.0,2.0
282,14155,1,0.42564101594558024,-0.04673405405379435,3052.997504601796,14.0,2.0
283,14205,1,0.4252230966961487,-0.04502191894655858,3050.730954599366,14.0,2.0
